wavelength_um,emissivity_d0.5um,emissivity_d5um,emissivity_d20um,emissivity_d50um,emissivity_d100um,emissivity_d200um
0.482000,0.000001,0.000012,0.000049,0.000138,0.000275,0.000536
0.484000,0.000001,0.000012,0.000055,0.000133,0.000248,0.000517
0.486000,0.000001,0.000012,0.000049,0.000123,0.000264,0.000494
0.488000,0.000001,0.000013,0.000055,0.000123,0.000259,0.000485
0.490000,0.000001,0.000013,0.000048,0.000131,0.000246,0.000510
0.492000,0.000001,0.000014,0.000054,0.000136,0.000272,0.000543
0.494000,0.000001,0.000013,0.000048,0.000130,0.000244,0.000505
0.496000,0.000001,0.000013,0.000054,0.000122,0.000249,0.000480
0.498000,0.000001,0.000012,0.000048,0.000119,0.000268,0.000534
0.500000,0.000001,0.000012,0.000052,0.000122,0.000243,0.000487
0.502000,0.000001,0.000012,0.000049,0.000128,0.000239,0.000502
0.504000,0.000001,0.000012,0.000050,0.000132,0.000261,0.000501
0.506000,0.000001,0.000013,0.000050,0.000131,0.000259,0.000493
0.508000,0.000001,0.000013,0.000048,0.000127,0.000237,0.000489
0.510000,0.000001,0.000013,0.000052,0.000121,0.000233,0.000510
0.512000,0.000001,0.000013,0.000046,0.000117,0.000247,0.000462
0.514000,0.000001,0.000012,0.000052,0.000115,0.000259,0.000513
0.516000,0.000001,0.000012,0.000046,0.000115,0.000255,0.000492
0.518000,0.000001,0.000011,0.000050,0.000116,0.000242,0.000456
0.520000,0.000001,0.000011,0.000048,0.000118,0.000231,0.000485
